suspect_age,suspect_gender,suspected_offense_type,intoxication_level,mental_confusion_level,suspect_aggression_level,suspect_compliance,officer_tone,officer_deescalation_attempts,bystanders_present,environment_risk_level,time_of_day,number_of_officers,force_used_level,interaction_duration_minutes,interaction_score
30,male,violent_crime,1,1,2,1,2,0,0,3,evening,5,3,8,34.3
33,male,traffic_violation,0,0,1,2,1,1,0,2,night,2,0,18,91.1
7, male ,DUI,2,1,1,1,1,3,1,2,night,2,1,29,62.5
32,female,violent_crime,1,0,1,1,2,2,1,3,night,4,2,15,61.8
34,male,mental_health_crisis,1,2,2,0,1,7,0,0,day,2,2,47,60.9
26,male,suspicious_person,0,0,3,0,1,2,0,1,night,4,1,8,59.3
32,male,traffic_violation,0,0,0,2,0,1,1,1,night,1,0,17,82.4
30,male,warrant,1,0,1,2,2,2,0,1,evening,3,1,18,72.8
43,unknown,traffic_violation,0,0,3,0,2,0,0,1,night,3,2,NA,52.1
25,female,mental_health_crisis,0,2,0,1,1,6,0,2,day,4,0,43,81.8
22,male,public_intoxication,3,1,2,1,1,3,1,2,night,4,0,23,50.7
22,male,mental_health_crisis,1,1,2,2,1,7,0,1, day ,3,2,38,72.7
39,male,mental_health_crisis,0,2,2,0,2,6,0,1,evening,4,1,30,67.0
44,unknown,theft,1,1,1,2,2,1,0,2,night,3,0,18,67.9
39,male,DUI,3,2,2,0,2,6,0,2,evening,3,2,29,46.3
39,male,,2,0,1,1,1,3,1,1,late_night,1,1,24,90.9
29,male,active_warrant,1,1,3,3,2,3,0,2,evening,2,3,1,12.4
31,,mental_health_crisis,0,2,1,0,1,3,0,0,night,2,1,29,63.4
48,male,public_intoxication,2,1,1,1,2,4,1,2,day,3,1,20,55.8
27,unknown,theft,0,1,0,2,1,2,0,1,evening,2,0,13,105.9
NA,male,traffic_violation,0,0,0,2,1,0,0,1,evening,1,0,9,95.0
39,male,public_intoxication,1,1,1,0,2,1,1,2,night,2,1,30,48.9
37,male,DUI,2,1,0,1,2,4,0,2,day,2,1,18,63.8
17,male,domestic_disturbance,1,2,1,1,1,4,0,2,day,3,1,31,75.1
30,male,traffic_violation,1,0,2,2,1,4,0,0,day,2,1,1,89.0
18,male,DUI,2,1,1,1,2,4,0,1,late_night,2,1,38,48.1
24,male,suspicious_person,0,1,1,3,2,2,0,2,DAY,2,0,14,89.0
22,female,mental_health_crisis,1,3,2,0,1,6,0,0,evening,2,3,41,41.5
33,male,NA,2,2,4,1,2,4,1,2,night,2,1,45,37.8
34,male,other,1,0,1,0,1,5,0,2,late_night,2,1,22,54.7
40,male,domestic_disturbance,1,2,0,2,2,0,0,2,late_night,4,0,26,66.0
29,female,traffic_violation,0,0,1,2,2,1,0,1,day,2,0,12,88.5
27,Male,traffic_violation,0,1,2,2,1,3,0,0,evening,2,0,14,85.8
,male,theft,0,0,2,0,1,1,1,3,late_night,2,2,17,34.5
55,female,theft,1,0,0,3,2,4,0,0,day,2,0,20,100.0
24,male,traffic_violation,0,0,0,2,1,2,0,0,day,1,0,14,100.0
20,female,traffic_violation,1,0,1,2,0,1,0,1,day,3,0,21,79.1
unknown,male,DUI,3,2,0,2,1,6,0,1,evening,3,0,32,88.9
56,female,traffic_violation,0,1,0,3,1,2,0,1,evening,2,0,5,100.0
23,female,domestic_disturbance,2,0,1,1,1,6,0,3,night,4,2,28,56.5
17,female,theft,0,1,2,0,1,2,0,2,night,3,1,21,59.3
43,male,other,1,2,3,0,1,3,1,1,day,2,1,14,29.2
33,male,domestic_disturbance,2,1,2,1,1,5,1,2,night,4,1,31,56.4
22,female,theft,0,0,1,1,1,1,1,1,night,3,0,12,70.4
28,female,traffic_violation,0,0,2,2,1,3,0,1,day,2,0,9,78.5
27,male,public_intoxication,2,2,1,0,2,4,1,2,day,3,1,13,58.5
28,female,NA,1,0,3,1,1,3,1,2,day,2,2,19,46.3
19,male,DUI,1,2,0,2,1,5,1,1,late_night,2,0,30,97.2
32,female,other,1,0,1,2,2,0,1,1,evening,1,0,22,95.8
21,female,warrant,1,0,1,1,1,4,0,1,evening,2,2,19,85.2
46,male,traffic_violation,1,1,0,2,1,3,0,0,late_night,2,0,18,100.0
25,female,domestic_disturbance,1,1,1,0,2,3,0,2,evening,2,2,28,47.5
30,male,traffic_violation,0,2,0,1,1,2,0,1,day,2,0,12,89.7
40,male,violent_crime,1,2,2,0,3,2,1,3,late_night,4,3,24,25.9
32,female,theft,1,1,1,2,1,2,0,2,day,2,0,18,75.6
33,male,theft,1,0,1,0,1,3,1,2,evening,3,1,14,65.4
23,female,traffic_violation,0,2,1,3,1,5,0,1,night,2,0,17,100.0
28,female,mental_health_crisis,0,3,2,0,2,5,0,2,night,3,3,30,45.4
34,male,domestic_disturbance,0,1,4,0,2,4,1,1,night,2,3,20,13.7
32,female,violent_crime,0,0,1,1,1,0,0,2,evening,3,2,11,72.4
22,female,theft,1,1,3,0,1,0,1,1,night,2,1,13,37.0
50,female,mental_health_crisis,0,2,2,1,1,8,0,2,late_night,3,1,33,76.2
30,male,,0,0,3,2,2,0,0,2,evening,3,1,13,61.7
40,female,violent_crime,1,2,3,0,2,4,1,3,late_night,5,4,NA,37.5
52,female,DUI,1,1,0,2,0,4,0,0,day,2,0,30,97.9
18,female,DUI,3,0,0,0,1,4,0,1,night,3,0,31,75.1
47,male,other,1,0,2,1,1,1,1,2,day,2,1,9,61.6
35,male,warrant,1,1,3,3,2,1,1,1,late_night,2,0,12,50.4
55,male,violent_crime,3,0,1,0,3,1,0,3,day,5,3,8,41.7
30,male,domestic_disturbance,1,1,2,0,1,6,0,1,night,3,3,22,33.1
18,female,DUI,3,1,0,1,1,4,0,1,late_night,1,0,34,83.2
46,female,theft,0,0,3,2,1,0,1,1,evening,3,0,6,61.6
33,male,theft,0,0,2,0,2,2,1,1,evening,2,1,4,40.0
33,male,traffic_violation,0,0,1,2,1,2,0,2,night,1,0,12,83.2
54,male,warrant,0,1,3,1,2,2,0,1, day ,2,1,10,58.5
30,male,other,0,1,2,0,2,1,0,0,night,1,1,,49.4
48,male,domestic_disturbance,2,1,3,0,3,2,1,3,evening,5,2,27,32.0
32,male,DUI,2,1,1,0,1,5,0,2,late_night,3,1,37,61.4
38,male,assault/violent_crime,0,0,3,0,2,2,1,3,late_night,4,3,8,66.9
16,female,mental_health_crisis,1,3,2,0,1,4,0,0,evening,1,1,32,54.9
21,unknown,theft,0,0,3,1,2,3,1,2,late_night,4,1,18,63.9
41,male,mental_health_crisis,0,3,1,0,1,6,0,2,late_night,4,1,,61.3
unknown,female,domestic_disturbance,1,1,1,0,2,0,0,1,day,3,1,NA,42.1
42,male,public_intoxication,3,1,2,0,3,3,1,2,evening,2,2,32,24.5
42,male,traffic_violation,1,0,1,3,1,1,0,1,day,2,0,9,81.1
38,male, theft ,0,0,0,2,2,0,1,1,night,3,1,15,100.0
33,male,suspicious_person,1,1,0,1,2,2,0,1,day,2,0,23,79.5
39,male,other,0,1,0,1,1,2,0,1,day,3,1,24,78.9
43,male,DUI,2,0,1,1,1,4,0,0,day,2,0,38,86.9
29,male,domestic_disturbance,1,1,1,2,1,4,0,1,late_night,4,1,30,68.6
26,male,domestic_disturbance,2,2,2,0,3,4,0,2,night,2,1,25,43.8
33,female,domestic_disturbance,1,1,1,2,2,2,0,2,,3,0,31,80.0
30,male,violent_crime,1,1,3,0,3,0,1,3,day,4,3,13,24.1
40,female,violent_crime,1,1,2,0,2,1,0,2,Night,5,2,6,55.0
43,unknown,violent_crime,1,1,3,0,2,1,0,3,NA,4,3,19,37.3
,male,traffic_violation,0,0,1,3,1,2,0,1,day,2,0,15,94.9
30,male,violent_crime,0,0,4,0,2,1,1,3,night,4,4,11,19.7
23,male,mental_health_crisis,1,1,3,0,1,3,0,1,late_night,2,2,31,36.3
47,female,suspicious_person,2,1,0,1,1,4,0,1,night,2,1,12,73.2
45,,warrant,1,0,0,3,1,0,0,1,night,3,0,11,90.6
34,female,traffic_violation,0,1,0,2,1,3,0,1,day,2,0,4,98.8
24,female,DUI,2,0,2,1,1,3,1,1,late_night,3,2,26,59.3
34,unknown,traffic_violation,2,0,2,3,1,4,0,1,late_night,1,0,1,97.6
22,male,warrant,1,2,1,1,2,0,0,1,late_night,2,1,25,43.4
31,female,drunk_driving,2,2,2,1,2,4,1,3,late_night,3,2,34,35.4
32,male,warrant,0,0,1,0,1,1,0,1,day,1,2,7,60.0
,male,traffic_violation,0,0,1,2,2,0,0,1,night,1,0,2,89.7
22,male,violent_crime,1,0,4,0,3,0,1,3,evening,5,3,8,13.4
18,male,warrant,0,0,0,3,1,2,1,1,evening,3,0,14,100.0
43,female,domestic_disturbance,1,1,1,0,2,2,0,2,evening,2,2,,59.5
unknown,male,other,0,0,1,1,3,3,0,2,evening,2,0,14,80.6
19,male,theft,2,0,2,2,0,7,1,3,evening,2,0,19,86.1
29,female,suspicious_person,1,1,2,2,2,2,0,1,day,1,1,14,62.7
18,male,theft,1,0,1,3,1,3,0,1,late_night,2,0,23,77.4
16,male,theft,0,1,2,0,1,3,1,0,evening,1,1,12,52.2
38,male,traffic_violation,1,0,0,3,2,1,0,0,night,2,4,2,80.5
25,male,DUI,2,1,0,2,2,3,0,0,day,1,0,27,89.7
unknown,male,retail_theft,1,2,2,0,2,3,1,2,night,2,1,12,47.6
42,male,DUI,2,2,1,1,1,5,0,2,night,1,0,39,78.5
52,male,theft,1,0,2,1,1,3,1,2,late_night,3,0,13,56.7
40,male,violent_crime,0,0,2,1,2,2,0,2,day,4,3,14,63.5
34,female,violent_crime,2,0,4,0,2,3,1,3,late_night,4,4,21,9.4
29,unknown,traffic_violation,0,1,1,2,1,5,0,1,late_night,1,0,23,99.6
36,female,warrant,0,1,3,0,2,2,0,1,late_night,2,2,9,41.7
44,male,domestic_disturbance,2,2,1,0,2,4,1,3,day,4,2,27,46.4
23,unknown,public_intoxication,1,1,0,1,1,3,0,1,day,3,1,18,59.3
24,male,violent_crime,2,1,2,0,3,3,0,2,evening,5,3,16,41.6
17,female,theft,0,1,1,0,1,1,1,1,day,2,0,23,70.5
34,female,traffic_violation,0,1,4,2,3,1,0,1,night,1,0,20,96.5
52,female,mental_health_crisis,2,2,3,0,1,8,0,1,late_night,4,2,39,40.6
29,male,theft,1,2,2,0,1,2,0,1,late_night,3,1,9,52.9
39,female,other,1,2,1,2,2,2,1,1,DAY,2,1,15,69.9
21,male,,0,0,3,1,2,5,1,1,evening,2,2,21,51.2
52,female,other,2,1,2,2,2,3,1,3,NA,3,1,21,47.0
49,male,suspicious_person,0,0,1,1,1,3,0,2,night,3,2,5,70.9
28,male,domestic_disturbance,1,2,1,1,1,3,0,3,night,3,0,24,54.5
20,male,violent_crime,1,1,4,0,3,2,0,2,late_night,5,4,3,28.1
16,male,theft,0,0,3,1,2,0,1,2,night,4,1,18,41.7
38,male,traffic_violation,0,0,0,2,1,2,0,2,late_night,2,0,14,98.7
16,female,theft,0,0,1,2,2,4,1,1,EVENING,2,0,27,90.2
23,male,DUI,2,0,2,1,1,3,1,0,late_night,3,1,26,58.6
38,male,domestic_disturbance,2,0,3,0,2,5,0,0,night,2,2,30,39.3
51,female,violent_crime,2,2,3,0,3,4,0,3,evening,4,3,14,24.7
41,female,public_intoxication,2,1,1,2,2,2,0,1,day,2,0,16,78.3
16,unknown,warrant,1,0,2,2,2,3,0,1,day,1,1,14,73.9
41,female,mental_health_crisis,0,3,1,0,2,5,0,2,late_night,3,2,45,41.4
24,male,suspicious_person,1,1,2,1,2,2,0,3,late_night,2,2,16,53.8
16,female,suspicious_person,0,0,2,1,2,1,0,0,day,1,1,14,64.2
29,male,DUI,2,1,1,1,1,4,0,2,late_night,3,0,25,76.4
21,male,violent_crime,2,0,2,0,3,3,0,2,day,4,2,14,54.3
26,male,traffic_violation,1,0,0,2,1,4,1,2,day,2,0,21,86.6
46,female,public_intoxication,0,0,3,1,1,2,1,1,evening,3,1,19,66.6
52,male,mental_health_crisis,1,3,2,1,1,6,1,1,evening,3,0,50,54.5
27,female,theft,0,1,3,0,2,1,0,1,evening,1,2,11,37.6
16,male,suspicious_person,0,1,0,1,1,6,0,1,night,2,0,18,92.4
42,unknown,traffic_violation,0,0,1,3,0,2,1,1,evening,2,0,9,97.0
34,male,theft,2,1,1,1,1,5,0,0,day,3,0,23,84.5
36,female,warrant,0,2,2,0,2,4,0,0,day,1,1,20,63.0
34,female,domestic_disturbance ,0,1,2,1,2,2,0,1,day,2,1,25,54.7
42,female,traffic_violation,0,0,1,1,2,1,0,0,late_night,1,0,14,78.8
41,male,suspicious person,0,2,3,1,2,3,0,2,evening,2,1,21,53.4
32,male,public_intoxication,2,0,2,0,2,3,1,1,day,2,2,19,34.0
44,male,warrant,0,1,1,2,1,2,0,2,night,3,0,14,84.7
35,male,warrant,0,0,2,1,2,3,0,1,NA,2,1,11,67.9
18,unknown,DUI,2,1,1,1,1,5,0,1,day,1,0,35,75.8
38,female,domestic_disturbance,1,1,1,1,1,3,0,3,night,4,2,20,55.1
16,male,theft,1,0,1,2,1,2,0,1,evening,3,0,28,83.5
20,male,traffic_violation,0,1,2,1,2,2,0,0,late_night,1,0,22,75.2
29,male,other,0,0,1,2,1,4,0,0,night,2,1,26,94.4
37,male,other,1,0,0,3,1,5,1,3,day,3,0,16,100.0
30,female,mental_health_crisis,0,2,1,1,2,4,0,1,evening,2,1,39,65.1
21,male,warrant,0,0,2,1,2,4,0,2,evening,4,1,15,66.4
37,male,warrant,1,0,1,0,1,0,0,1,night,2,0,22,56.0
22,male,traffic_violation,1,0,1,2,1,0,0,1,evening,2,0,17,89.2
23,male,violent_crime,2,0,2,1,3,2,1,2,late_night,2,2,8,53.2
18,male,domestic_disturbance,0,1,1,1,2,2,1,3,late_night,3,1,31,53.0
18,female,DUI,3,0,0,2,1,5,0,0,evening,2,0,30,97.6
28,male,violent_crime,2,2,4,0,3,0,0,2,day,4,3,18,7.2
31,male,violent_crime,2,2,3,0,3,4,1,3,evening,4,4,6,28.3
21,,,0,3,1,1,1,8,0,2,night,3,1,35,71.3
18,female,public_intoxication,2,0,2,0,2,3,0,2,late_night,2,2,27,44.1
39,male,traffic_violation,0,0,3,0,1,0,1,1, night ,2,1,2,57.1
23,female,theft,0,2,1,1,2,2,1,3,day,3,1,23,48.4
29,female,traffic_violation ,0,1,0,1,1,1,1,1,evening,3,1,12,72.8
46,male,mental_health_crisis,1,3,0,2,1,5,0,2,late_night,2,1,32,79.0
38,female,other,0,1,0,2,1,4,0,2,night,3,0,16,100.0
43,female,DUI,3,1,2,2,2,4,1,1,late_night,3,0,39,65.5
39,female,violent_crime,1,1,3,0,2,1,1,3,evening,5,3,21,23.3
25,male,traffic_violation,2,1,0,1,2,2,0,0,late_night,1,0,NA,79.1
41,female,traffic_violation,1,0,1,2,1,3,0,1,evening,2,0,21,71.9
37,female,mental_health_crisis,0,3,1,1,2,6,0,1,day,2,1,39,76.8
21,male,violent_crime,2,1,3,0,2,1,1,3,day,5,3,10,25.3
29,male,suspicious_person,2,0,0,3,1,3,0,2,evening,2,0,25,95.4
32,female,theft,0,0,2,0,3,1,1,1,night,2,2,12,58.7
28, male ,theft,0,1,2,1,1,1,1,1,day,3,1,18,62.2
45,male,mental_health_crisis,0,3,2,0,2,5,0,2,day,3,1,33,52.4
28,Male,theft,0,0,3,3,3,3,1,1,night,2,0,16,70.7
30,female,DUI,3,1,0,3,1,1,0,1,evening,2,0,33,80.0
37,male,mental_health_crisis,1,3,0,0,1,4,1,2,day,3,1,40,61.9
28,male,public_intoxication,2,2,1,1,2,4,1,2,NA,3,1,30,50.5
18,Female,DUI,3,1,1,1,2,5,0,1,night,1,1,34,67.2
21,male,DUI,2,2,1,1,2,6,0,1,day,2,0,35,71.8
44,male,violent_crime,1,0,3,0,3,0,0,2,NA,5,2,11,40.6
51,female,mental_health_crisis,1,1,1,0,1,6,0,3,LateNight,3,2,42,44.8
30,male,traffic_violation,1,1,1,1,1,2,0,1,day,2,1,19,66.7
22,Male,other,0,1,1,1,2,3,0,0,evening,1,1,20,73.6
28,female,other,2,0,0,1,1,3,0,1,late_night,2,0,31,69.5
38,male,DUI,2,2,0,2,2,4,0,2,day,1,1,31,86.7
52,female,suspicious_person,0,0,0,1,1,2,0,2,day,2,0,14,86.2
38,female,DUI,2,2,0,2,1,4,0,1,day,3,0,28,100.0
48,male,other,2,1,1,0,2,3,0,2,night,3,0,18,58.1
18,female,domestic_disturbance,1,1,3,1,2,4,0,0,evening,3,2,32,47.7
17,female,suspicious_person,0,1,1,2,2,1,0,1,late_night,3,0,27,75.3
24,male,domestic_disturbance,0,1,1,1,1,3,1,3,late_night,2,1,32,62.6
32,male,theft,0,0,2,0,1,2,0,1,evening,2,1,16,59.8
NA,male,suspicious_person,1,0,0,0,1,0,0,1,night,3,1,14,64.6
NA,Unknown,DUI,3,2,2,2,2,5,0,1,night,2,0,37,72.6
20,male,theft,0,0,1,1,2,3,1,1,evening,2,0,22,91.6
23,female,mental_health_crisis,1,1,2,0,1,5,1,3,night,3,2,37,44.8
38,unknown,mental_health_crisis,2,3,0,2,1,6,1,2,late_night,4,0,46,81.1
31,female,DUI,2,1,2,2,2,3,0,1,evening,3,2,30,49.5
56,female,suspicious_person,0,1,4,1,2,4,0,1,night,2,0,22,96.5
44,female,violent_crime,0,1,2,0,2,3,0,3,evening,4,3,8,58.1
36,male,suspicious_person,2,2,1,2,2,3,0,1,late_night,2,0,17,79.8
22,female,DUI,2,1,1,2,2,3,0,1,day,2,0,35,67.8
41,male,mental_health_crisis,0,2,0,1,2,6,0,1,night,3,0,43,82.6
22,male,mental_health_crisis,1,2,1,1,0,5,0,0,late_night,2,1,36,85.4
46,male,traffic_violation,0,0,1,1,1,2,0,1,night,2,0,NA,89.7
21,male,suspicious_person,0,1,1,0,1,4,0,1,night,1,0,14,67.6
38,male,DUI,3,1,0,2,2,4,0,1,day,1,0,32,70.8
20,male,traffic_violation,1,1,2,1,2,2,0,2,late_night,1,0,9,66.2
16,male,other,1,0,0,1,1,3,0,1,day,2,0,21,82.8
NA,male,theft,1,1,1,2,1,5,1,1,late_night,1,0,25,81.9
19,male,traffic_violation,1,0,4,1,1,1,0,0,night,1,1,8,39.9
38,male,suspicious_person,1,1,1,3,1,3,0,1,night,1,0,20,93.6
27,male,domestic_disturbance,1,2,2,1,2,2,0,2,day,3,1,26,44.1
23,female,theft,0,2,2,1,2,2,1,2,day,3,1,20,50.6
28,female,suspicious_person,2,1,1,2,2,7,0,1,night,2,0,23,87.6
,female,theft,0,0,2,2,1,2,1,2,late_night,2,0,25,83.5
20,male,violent_crime,0,2,3,0,3,1,1,3,evening,5,3,20,32.2
16,female,theft,1,0,2,0,1,4,1,2,night,2,1,11,58.0
31,male,suspicious_person,0,2,1,2,2,0,0,2,day,2,0,7,73.5
16,male,suspicious_person,1,1,2,1,1,3,0,3,late_night,3,1,17,59.7
27,female,mental_health_crisis,1,2,0,0,1,5,1,2,day,2,1,46,64.9
51,female,mental_health_crisis,1,3,1,0,1,6,0,1,day,4,1,41,67.4
40,male,other,0,0,1,2,1,4,0,1,Night,1,0,18,84.5
28,male,suspicious_person,0,1,2,2,1,2,0,1,evening,1,0,24,87.3
40,male,suspicious_person,2,2,1,0,1,4,0,0,evening,2,1,26,76.1
41,male,public_intoxication,3,2,1,0,1,3,1,2,night,3,1,34,39.3
47,female,traffic_violation,1,1,2,1,1,4,0,1,day,1,1,7,78.0
36,Male,domestic_disturbance,2,0,1,2,1,4,1,1,evening,3,1,24,75.4
23,male,mental_health_crisis,0,2,1,0,1,6,1,2,evening,3,1,40,68.2
31,male,suspicious_person,0,0,1,2,1,3,0,2,late_night,2,0,22,85.6
